"","x","y","extent","depth","vdepth","horizontal","relief","skyline","building","sdi","greeney","pavement"
"23",13467135.9184786,305625.932883891,1e+05,3298.88589841204,515.685904519147,50800,0.43296016774121,115.530245713036,0.094,1.207,0.153,0.243
"24",13467692.3426518,304666.588913542,56300,3245.88199286549,358.439883068491,21000,1.28152023932918,172.586371597661,0.213143872113677,1.268,0.0976909413854352,0.319715808170515
"25",13467417.421289,304868.233482495,23200,2887.2025778972,269.975086070152,9000,0.562278085306899,175.515377765023,0.125,0.78,0.107758620689655,0.314655172413793
"26",13468234.9170556,303611.937756721,15200,257.750618245422,50.6992791652182,6400,0.272314577136684,15.8987053245317,0.0263157894736842,0.791,0.138157894736842,0.447368421052632
"27",13465232.224125,305419.492508721,21800,2771.69158980553,237.164956844931,12400,0.584075981602532,39.5244483275394,0,0.426,0.0275229357798165,0.564220183486238
"28",13465403.5258039,305441.362657973,37100,2944.16070051786,224.782483735653,27200,2.19647403288347,16.9005518680032,0,0.371,0.0269541778975741,0.44743935309973
"29",13465755.0846642,305450.708986136,30400,806.779739804706,161.184740051681,18000,0.411178489093139,22.0146035498911,0.144736842105263,0.675,0.0657894736842105,0.490131578947368
"30",13465842.8589953,305454.984567412,38700,716.651145565049,116.438669534323,27100,0.423474955712792,23.8175774073279,0.0930232558139535,0.419,0.0232558139534884,0.524547803617571
"31",13468680.4259217,302736.86039802,52700,2271.99329959748,289.847927609096,20400,0.897698027645009,176.667233355062,0.094876660341556,1.002,0.197343453510436,0.309297912713473
"32",13468429.3841405,305673.692507988,65000,3036.87328143165,619.52256975545,36300,0.534514232996107,105.428802245875,0.124615384615385,0.872,0.0876923076923077,0.438461538461538
"33",13466319.5828249,305573.910605554,103200,2917.29686728697,450.389605915388,52800,3.39521765732228,23.5898391383173,0.169573643410853,1.083,0.0581395348837209,0.326550387596899
"34",13466250.7609735,305466.139894142,97400,2791.69514789703,223.774623941111,54300,3.19511237484791,12.3637332152418,0.0759753593429158,0.942,0.0811088295687885,0.369609856262834
"35",13466293.3885982,305470.185989947,119800,2824.16925260425,259.834672086576,66600,3.78919173498423,16.0662467402755,0.0784641068447412,1.059,0.0909849749582638,0.302170283806344
"36",13466771.6988842,305482.664528596,104800,3184.08733566835,270.369946248216,66900,0.904645459647475,100.833588186066,0.0935114503816794,1.15,0.0486641221374046,0.24236641221374
"37",13468419.8441011,305567.736111177,73800,3228.41475759046,325.595015149303,43200,0.452634670305234,137.988100282733,0.115176151761518,0.996,0.115176151761518,0.363143631436314
"38",13468866.7832705,305571.460218421,85400,3169.86100919357,530.914142303627,55200,1.52155257984934,114.367350339791,0.0644028103044497,0.779,0.0995316159250585,0.399297423887588
"39",13469033.8089068,305682.268955483,83400,3040.70073419066,402.895785606112,42200,2.44718576206257,43.0153549616763,0.0803357314148681,1.001,0.0959232613908873,0.327338129496403
"40",13468790.9268292,302595.222274309,44700,2181.49356694857,252.031951984779,12600,0.713880656816086,179.866105628214,0.136465324384787,1.187,0.196868008948546,0.268456375838926
"41",13467623.0197156,304782.93993597,15600,326.812603717415,68.563239860915,10400,0.602253153562762,6.1132882144132,0.115384615384615,0.625,0.0128205128205128,0.365384615384615
"42",13467602.6688551,304819.945703818,37200,3168.58693094114,327.681758850149,17100,0.72301282690819,143.00162464239,0.137096774193548,0.905,0.0967741935483871,0.333333333333333
"43",13467582.2779641,304856.929783686,37500,2810.5901026068,264.480285148399,15900,0.662341895011162,132.578437605013,0.202666666666667,1.017,0.0533333333333333,0.317333333333333
"44",13467520.9696865,304967.807108662,35000,2936.45475946927,329.225516629485,15200,0.674920146623184,146.091661979254,0.148571428571429,0.978,0.0771428571428571,0.374285714285714
"45",13467500.5160806,305004.756541698,30000,2987.6578805642,436.714053737663,11800,0.651123553467434,155.224516818154,0.2,1.048,0.07,0.383333333333333
"46",13467497.7527291,305651.009295187,92700,3285.99289204785,380.603336346915,46200,0.442740504707973,113.67708129019,0.110032362459547,1.258,0.16504854368932,0.235167206040992
"47",13467543.0901778,305652.002226995,88900,3251.83514121193,325.115893179499,48000,0.506104175769433,123.461598574204,0.101237345331834,1.286,0.139482564679415,0.247469066366704
"48",13467588.4272882,305653.015742519,65400,3217.94004944112,341.366330230907,40300,0.496938165273712,161.487865638076,0.102446483180428,1.248,0.073394495412844,0.299694189602446
"49",13467633.7643987,305654.029258043,67700,2419.24779315287,284.288257183136,35800,0.488722526749875,86.5817828486242,0.116691285081241,1.192,0.121122599704579,0.288035450516987
"50",13468100.4297205,305560.296981951,37600,837.931559559348,165.579011842325,30000,0.57426479227607,10.1193230119486,0.0771276595744681,0.506,0.00531914893617021,0.507978723404255
"51",13469070.8381431,305684.211289339,63200,2997.2716716094,419.503927860718,26500,0.668144164510816,119.541604261313,0.126582278481013,1.098,0.0743670886075949,0.316455696202532
"52",13469125.3161987,305687.1555334,88700,3222.37713456763,702.95236164758,26400,3.1267759211438,59.3513492440443,0.163472378804961,1.384,0.0879368658399098,0.228861330326945
"53",13468693.2860176,302780.222434733,45800,2315.25206827978,331.839651246893,19000,0.934613288105647,153.765002287953,0.109170305676856,0.937,0.196506550218341,0.292576419213974
"54",13468676.6324074,302809.993435277,49300,3199.100767121,384.28582980121,16900,1.05783859187772,145.949821606265,0.105476673427992,0.948,0.210953346855984,0.26369168356998
"55",13466885.9742348,305601.267134623,100600,3243.4643962462,453.403718288221,43400,0.46230316296979,105.087201868128,0.115308151093439,1.374,0.180914512922465,0.173956262425447
"56",13467262.4000701,305526.388312949,94100,3194.97173699604,403.729124808528,49900,0.420514233377406,105.535798171136,0.0446333687566419,1.151,0.156216790648247,0.300743889479277
"57",13467218.9821068,305521.275977385,74900,3131.90738648292,311.307157032435,38400,0.407001266895061,143.116980289414,0.0654205607476635,1.022,0.145527369826435,0.344459279038718
"58",13467528.7011048,305548.402915877,63600,2966.49132686993,344.965448764963,37300,0.414655079828332,155.265395412968,0.0518867924528302,1.027,0.155660377358491,0.312893081761006
"59",13467663.9206387,305551.396111842,91300,3234.87130172683,348.439159738403,49400,0.433498158211147,126.362144667964,0.0525739320920044,1.012,0.167579408543264,0.282584884994524
"60",13467929.3449792,305660.881973349,72500,2972.67656791084,360.364798972225,31000,0.489233884534083,130.485460797392,0.096551724137931,1.407,0.16551724137931,0.302068965517241
"61",13467888.3753749,305660.013415722,70500,3001.10620627868,431.876172690946,28700,0.583403489287362,125.955632242857,0.120567375886525,1.419,0.171631205673759,0.279432624113475
"62",13468464.2671937,305570.003179048,68800,3190.41825188625,317.689089360733,48600,0.460856711724821,183.365351111145,0.0290697674418605,0.65,0.106104651162791,0.412790697674419
"63",13465952.3037923,305571.042957515,242200,3278.77702766291,741.22629198739,81900,6.86655724406292,19.3477973125898,0.2056151940545,1.444,0.156895127993394,0.200660611065235
"64",13467633.3797196,304551.812169984,63500,3245.52689724599,323.246964558823,26600,2.39991582284457,143.435310743976,0.130708661417323,1.189,0.133858267716535,0.262992125984252
"65",13467656.4745062,304512.470549561,73300,2948.83224917028,278.452296752762,30000,2.50594717400411,132.299866254723,0.17462482946794,1.132,0.102319236016371,0.248294679399727
"66",13467681.9887589,304474.540556437,57000,2903.62651272128,296.094340256593,26700,2.36724109275991,157.582270324283,0.150877192982456,1.006,0.0929824561403509,0.298245614035088
"67",13467704.0630617,304434.433047174,54800,2859.17038981047,275.769502462436,23700,3.93035922279263,157.229879868502,0.153284671532847,0.98,0.0985401459854015,0.20985401459854
"68",13467725.9352436,304394.203649172,54200,2814.80535880878,253.785324683723,28400,3.72282891960583,192.76895131689,0.0738007380073801,0.915,0.0959409594095941,0.280442804428044
"69",13467747.8074255,304353.974251169,43700,2989.89004462329,283.664930668628,22100,3.2869304305203,185.507296904253,0.176201372997712,0.906,0.0594965675057208,0.263157894736842
"70",13467791.8819342,304273.698043328,35000,3026.95622097252,321.253921918654,18100,4.07333005252401,261.197919049412,0.06,0.714,0.0857142857142857,0.28
"71",13467814.2876804,304233.764307434,29000,2637.57720120568,170.540502690595,15900,4.34299930262545,222.816373287881,0.0275862068965517,0.469,0.0793103448275862,0.3
"72",13467878.037844,304112.08728939,192000,3271.76663004533,754.134526507089,130500,1.20941069229341,147.089901398175,0.0276041666666667,0.448,0.0484375,0.0744791666666667
"73",13467597.1490652,304588.416859412,62600,3238.46702833583,441.617253143614,17700,1.11103270673575,129.00182123517,0.194888178913738,1.442,0.162939297124601,0.252396166134185
"74",13467854.6287567,304237.668082643,23000,2134.399078941,142.299140916011,13900,3.5623935159093,351.485966932597,0.0173913043478261,0.293,0.0391304347826087,0.434782608695652
"75",13467835.1660103,304276.11857329,35000,2181.06580778583,173.86042806199,19100,3.6810746684877,187.011872259589,0.0771428571428571,0.635,0.0771428571428571,0.365714285714286
"76",13467815.703264,304314.569063937,43000,2695.37014661012,252.542222219091,23000,3.57368923338993,210.115034724026,0.0976744186046512,0.694,0.0790697674418605,0.369767441860465
"77",13467796.2405177,304353.019554584,46500,2736.84390242534,257.675391596213,22400,3.52447133191711,173.663076411721,0.154838709677419,0.838,0.0860215053763441,0.344086021505376
"78",13467776.8077367,304391.485167023,53700,2778.35807172603,245.112202348298,25100,3.92787978624254,158.37880325452,0.182495344506518,0.976,0.0707635009310987,0.286778398510242
"79",13467757.4390975,304429.983148006,62500,2819.90080519797,249.916009328176,27000,4.04889543022127,144.66502051006,0.192,1.131,0.0688,0.2528
"80",13467703.561335,304547.327171599,51200,3207.44689332329,246.421878992685,23000,1.31612649724977,52.3010761191846,0.2265625,1.02,0.044921875,0.302734375
"81",13467690.6652358,304588.3399152,50100,2712.07820668114,179.31637156023,23900,1.23837546962366,34.1253901606921,0.225548902195609,0.955,0.0499001996007984,0.337325349301397
"82",13467331.484568,305023.987311877,21600,3252.93297947312,448.512169796506,7500,0.362928741950345,272.898727639083,0.0787037037037037,0.973,0.125,0.189814814814815
"83",13467376.0977139,304943.752093532,17900,3118.45180422581,443.359681855364,5500,0.350731677397143,189.424319948822,0.106145251396648,0.776,0.189944134078212,0.273743016759777
"84",13466862.8095914,305491.660542387,99600,3260.26025003727,342.954093832753,56700,0.511698173779624,136.195602719329,0.0612449799196787,1.089,0.113453815261044,0.257028112449799
"85",13467188.383772,305281.403847394,38100,3035.91171878456,319.867177719788,17800,0.60902191196924,140.463965464701,0.089238845144357,1.168,0.0971128608923885,0.272965879265092
"86",13466967.5173829,305500.41317143,92100,3280.80792157573,326.151599374093,49400,0.471589316309666,130.803367703738,0.0640608034744843,1.174,0.141150922909881,0.236699239956569
"87",13467456.8259482,305083.732228675,8500,180.171101773462,47.8015061484287,4700,0.328899092525978,10.3842554212094,0.0588235294117647,0.698,0.105882352941176,0.435294117647059
"88",13467326.3547084,305321.218133074,20900,426.526237646178,95.6477027742557,8600,0.51464370290981,13.0970796579784,0.0526315789473684,1.053,0.138755980861244,0.363636363636364
"89",13467304.6291647,305360.809933528,16200,1517.95227248118,204.49624864238,7000,0.355356303527229,6.20576360764155,0.0802469135802469,0.778,0.0493827160493827,0.487654320987654
"90",13467282.8319502,305400.362313764,17100,2930.06840875577,340.926781441726,7800,0.290479320358045,228.343324861589,0.0233918128654971,0.729,0.140350877192982,0.508771929824561
"91",13466662.2977001,305476.915314339,153500,3247.87517256579,421.422382724084,86900,1.06482421339224,97.1445850961151,0.115960912052117,1.299,0.0879478827361563,0.24299674267101
"92",13466710.0743821,305479.022507396,152500,3209.14288432222,328.285148246348,96300,0.938257267224785,113.320235659678,0.0839344262295082,1.115,0.0636065573770492,0.287868852459016
"93",13467013.3757344,305503.662245659,97400,3253.17079956525,361.537263337658,53800,0.44221005817669,132.985764671882,0.0564681724845996,1.202,0.130390143737166,0.223819301848049
"94",13467059.2070208,305508.211972333,99200,3224.86253913176,347.832407553556,52700,0.461174984647952,93.9191654775983,0.0574596774193548,1.276,0.150201612903226,0.28125
"95",13467260.6850112,305439.958735634,87900,3182.9577566056,351.811534123635,50000,0.438389847889674,133.676770831728,0.0614334470989761,1.105,0.14448236632537,0.312855517633675
"96",13467238.4581225,305479.507295605,116300,3158.84156009467,435.023151421454,68000,0.437830489307007,123.237895497069,0.060189165950129,1.228,0.122957867583835,0.306964746345658
"97",13467082.7448474,305468.290030878,89400,3246.55211739978,420.304216671332,46900,0.425759812715765,123.489511682813,0.0492170022371365,1.158,0.186800894854586,0.28076062639821
"98",13467106.071707,305427.494122081,65100,3269.61503136605,376.766148525844,32300,0.455999676757115,137.760490213343,0.0476190476190476,1.029,0.193548387096774,0.314900153609831
"99",13467176.0522858,305305.106395689,30200,3043.34369172997,241.10189440308,10400,0.514535527762252,144.057809443003,0.076158940397351,1.131,0.158940397350993,0.218543046357616
"100",13466339.212211,305470.247426841,115900,2856.33996067619,376.260379943475,65300,3.94671163066475,20.8538782296475,0.118205349439172,1.156,0.0681622088006903,0.277825711820535
"101",13466385.1038898,305471.018702621,118100,2889.42551729361,378.407612882684,59900,2.13148657614093,20.9988254091762,0.130397967823878,1.214,0.103302286198137,0.181202370872142
"102",13466430.9955579,305471.79129568,143000,3273.8224628745,388.870906750822,74500,2.29109361718649,69.9283974089622,0.118181818181818,1.251,0.106993006993007,0.174825174825175
"103",13466476.887226,305472.563888739,84500,1934.98532536672,378.289363160887,42700,3.16520054782389,24.0862784500432,0.18698224852071,1.26,0.0449704142011834,0.165680473372781
"104",13466522.7788941,305473.336481798,150000,3220.03074843649,344.669207927056,89600,0.986794502281077,77.6013802870902,0.082,1.188,0.0886666666666667,0.23
"105",13466568.6705622,305474.109074857,156400,3267.07244116105,391.268565669149,92500,1.15933534906193,79.5682128871707,0.0978260869565217,1.23,0.0831202046035806,0.235294117647059
"106",13466614.5622303,305474.881667916,196300,3286.76928048182,493.318384770124,131700,1.41987727211132,97.711853412437,0.0932246561385634,1.284,0.0534895568008151,0.189505858380031
"107",13467330.0378606,305535.288477987,109500,3126.78704702147,339.382527360511,65400,0.457354405075652,126.682204444661,0.0657534246575342,1.207,0.119634703196347,0.270319634703196
"108",13466567.214128,305576.795173848,179800,3263.74258828862,538.722405884171,109300,1.7524151442552,99.7779908967307,0.103448275862069,1.327,0.0617352614015573,0.187430478309232
"109",13466523.6990066,305575.816061878,139100,3272.29982709914,485.444698573433,72200,0.699853493808692,76.4223727089775,0.110711718188354,1.305,0.110711718188354,0.226455787203451
"110",13466978.2182394,305610.404311233,109300,3183.34470382024,323.079481475757,55800,0.6007998649728,112.534206543966,0.080512351326624,1.163,0.155535224153705,0.230558096980787
"111",13466928.3197814,305605.347224617,117500,3215.76756001795,361.620032596265,67100,0.50846219566332,121.830203901045,0.0876595744680851,1.212,0.102127659574468,0.21531914893617
"112",13466897.8427718,305953.566569204,56900,2955.83207954776,342.05354703113,27800,0.555550582868727,154.466079483703,0.00878734622144113,0.956,0.195079086115993,0.279437609841828
"113",13466919.1820278,305912.992216866,55700,2936.73775448676,390.47281880986,27400,0.597270496291114,151.839748216399,0.0825852782764812,1.128,0.149012567324955,0.195691202872531
"114",13466962.1963515,305832.023158326,76700,1983.41615946983,306.691916984361,43200,0.532166189868215,23.4478195195445,0.114732724902216,1.255,0.0873533246414602,0.265971316818774
"115",13466984.400851,305791.915844646,103100,3031.19699172567,320.159678663997,57400,0.515279367832039,110.600538623732,0.0999030067895247,1.214,0.112512124151309,0.263821532492725
"116",13467006.0088168,305751.486546011,122200,3259.28395707475,315.197342680697,68700,0.487669996344062,102.618113375176,0.0998363338788871,1.204,0.109656301145663,0.282324058919804
"117",13467017.6285933,305707.545995697,123500,3067.7906598885,321.262630016991,69300,0.467302976412183,110.081005774954,0.0688259109311741,1.156,0.110121457489879,0.277732793522267
"118",13467022.2237616,305661.992955337,137600,3028.79508590993,336.361495296182,79400,0.497736102457551,99.2067418077282,0.0988372093023256,1.173,0.100290697674419,0.265988372093023
"119",13467367.52167,305539.918278209,105300,3044.7352601681,318.205119413915,63300,0.464196625641723,128.909898182044,0.0683760683760684,1.148,0.117758784425451,0.293447293447293
"120",13467144.5672662,305711.287705508,79400,1680.31889697779,197.705581833819,48600,0.40969221560169,14.8528986167505,0.0831234256926952,1.029,0.0982367758186398,0.35264483627204
"121",13467128.4931556,305754.032675016,73100,2292.83833261789,234.429981511591,47200,0.444346458359844,23.2671770551037,0.051983584131327,0.871,0.0725034199726402,0.39124487004104
"122",13467111.5652961,305796.443298627,76100,3196.42650209261,315.458600432841,49200,0.43712556874508,19.4941029351965,0.038107752956636,0.987,0.0801576872536137,0.320630749014455
"123",13467069.9392672,305877.602907459,87700,3267.53544289801,338.515262199143,54300,0.453642446289475,23.5206833061457,0.0866590649942987,1.101,0.0775370581527936,0.339794754846066
"124",13466967.3325172,306028.729307971,66400,2678.1959304232,430.326896729077,29800,0.423229383591652,128.887825164854,0.106927710843373,0.956,0.131024096385542,0.417168674698795
"125",13467317.6930059,305641.473289865,105100,3128.84314529607,344.023285724238,64200,0.413420545924539,119.338386630224,0.0951474785918173,1.123,0.0837297811607992,0.327307326355852
"126",13467270.8884772,305636.905607354,92700,3166.0308034795,485.286962711648,53800,0.42754310271746,136.719320990042,0.0830636461704423,1.173,0.104638619201726,0.310679611650485
"127",13467865.364602,305554.351279048,88600,3094.5718957214,365.692965616792,36400,0.511606178368101,114.411016976864,0.0891647855530474,1.415,0.195259593679458,0.23589164785553
"128",13467817.3431126,305553.419304113,100200,3127.5780393714,317.440319101512,49100,0.492251287245897,118.779454295667,0.060878243512974,1.273,0.152694610778443,0.298403193612774
"129",13467769.3220521,305552.419189483,103300,3161.018722344,318.148117906612,49500,0.514740836078758,116.432659791566,0.0609874152952565,1.218,0.172313649564376,0.28944820909971
